id,unit,amount,metric_unit,metric_amount,created_at,updated_at,recipe_id,ingredient_id
1,cup,1.5,ml,354.882,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,1
2,"",1.0,"",1.0,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,2
3,cups,2.0,ml,473.176,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,3
4,"",1.0,"",1.0,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,4
5,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,5
6,cup,1.0,ml,236.588,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,6
7,pounds,10.0,kgs,4.536,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,2,7
8,"",1.0,"",1.0,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,8
9,cup,1.0,ml,236.588,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,9
10,cup,1.0,ml,236.588,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,10
11,cups,2.0,ml,473.176,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,11
12,cup,1.0,ml,236.588,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,12
13,cup,0.25,ml,59.147,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,13
14,sprig,1.0,sprig,1.0,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,14
15,teaspoon,1.0,tsp,1.0,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,2,15
16,C,0.5,cups,0.5,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,16
17,C,1.5,cups,1.5,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,13
18,"",3.0,"",3.0,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,17
19,lb,1.0,g,453.592,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,18
20,C,2.0,cups,2.0,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,19
21,C,1.5,cups,1.5,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,20
22,C,1.0,cup,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,21
23,Tsp,2.0,tsps,2.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,22
24,Tsp,1.0,tsp,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,23
25,"",6.0,"",6.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,4
26,"",2.0,"",2.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,4
27,C,0.25,cups,0.25,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,16
28,C,1.0,cup,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,13
29,"",3.0,"",3.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,2
30,oz,7.0,g,198.447,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,24
31,TBSP,1.0,Tbsp,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,25
32,oz,3.0,g,85.049,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,26
33,cup,1.0,ml,236.588,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,27
34,"",10.5,"",10.5,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,28
35,oz,7.0,g,198.447,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,29
36,cloves,3.0,cloves,3.0,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,30
37,oz,4.0,g,113.398,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,31
38,"",1.0,"",1.0,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,32
39,TBSP,1.0,Tbsp,1.0,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,33
40,"",2.0,"",2.0,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,34
41,oz,10.0,g,283.495,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,35
42,"",0.5,"",0.5,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,36
43,TBSP,1.0,Tbsp,1.0,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,37
44,cup,1.0,ml,236.588,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,38
45,cups,3.0,ml,709.764,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,39
46,cup,1.0,ml,236.588,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,4,40
47,"",3.0,"",3.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,4,41
48,"",0.5,"",0.5,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,4,42
49,g,50.0,g,50.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,43
50,Tbs,4.0,Tbs,4.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,44
51,"",1.0,"",1.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,17
52,small,4.0,small,4.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,45
53,g,50.0,g,50.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,46
54,servings,4.0,servings,4.0,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,47
55,g,100.0,g,100.0,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,48
56,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,49
57,tsp,0.5,tsps,0.5,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,50
58,g,350.0,g,350.0,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,51
59,cups,6.0,l,1.42,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,6,52
60,cup,0.5,ml,118.294,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,6,53
61,cup,0.5,ml,118.294,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,6,54
62,large,5.0,large,5.0,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,6,30
63,cup,0.5,ml,118.294,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,6,49
64,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,6,55
65,serving,1.0,serving,1.0,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,6,56
66,"",2.0,"",2.0,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,7,57
67,tsp,0.25,tsps,0.25,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,7,58
68,cups,1.5,ml,354.882,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,7,59
69,cup,0.5,ml,118.294,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,7,40
70,Tbs,3.0,Tbs,3.0,2022-11-11 05:14:06 UTC,2022-11-11 05:14:06 UTC,7,49
71,Tbs,1.0,Tbs,1.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,7,60
72,cloves,2.0,cloves,2.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,7,30
73,tsp,0.25,tsps,0.25,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,7,61
74,tsp,1.0,tsp,1.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,7,47
75,cups,2.0,ml,473.176,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,62
76,cups,1.5,ml,354.882,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,63
77,Tbsp,1.0,Tbsp,1.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,64
78,cup,0.6666667,ml,157.725,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,65
79,cup,0.5,ml,118.294,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,13
80,Tsp,1.0,tsp,1.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,15
81,slices,6.0,slice,6.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,66
82,"",1.0,"",1.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,36
83,"",1.0,"",1.0,2022-11-11 05:14:07 UTC,2022-11-11 05:14:07 UTC,8,30
84,cup,1.0,ml,236.588,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,8,67
85,oz,16.0,g,453.592,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,8,68
86,cups,1.25,ml,295.735,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,9,1
87,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,9,69
88,teaspoon,1.0,tsp,1.0,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,9,70
89,tablespoon,0.5,Tbsps,0.5,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,9,71
90,cup,0.25,ml,59.147,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,9,72
91,cup,0.25,ml,59.147,2022-11-11 05:14:08 UTC,2022-11-11 05:14:08 UTC,9,73
92,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,9,74
93,cup,0.25,ml,59.147,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,9,75
94,cup,0.25,ml,59.147,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,9,76
95,teaspoon,0.5,tsps,0.5,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,9,77
96,tablespoons,1.5,Tbsps,1.5,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,9,78
97,teaspoons,2.0,tsps,2.0,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,9,23
98,cup,0.25,ml,59.147,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,9,79
99,oz,15.0,g,425.243,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,10,24
100,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,10,74
101,cup,0.25,ml,59.147,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,10,80
102,"",2.0,"",2.0,2022-11-11 05:14:09 UTC,2022-11-11 05:14:09 UTC,10,17
103,"",1.0,"",1.0,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,81
104,cup,0.75,ml,177.441,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,82
105,tablespoons,3.0,Tbsps,3.0,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,83
106,tablespoons,1.5,Tbsps,1.5,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,84
107,ounces,3.0,g,85.049,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,85
108,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,86
109,teaspoon,1.0,tsp,1.0,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,23
110,teaspoon,0.5,tsps,0.5,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,77
111,cup,0.5,ml,118.294,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,87
112,cup,0.5,ml,118.294,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,10,79
113,cups,4.0,ml,946.352,2022-11-11 05:14:10 UTC,2022-11-11 05:14:10 UTC,11,88
114,cup,0.5,ml,118.294,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,89
115,cup,0.5,ml,118.294,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,82
116,teaspoons,1.0,tsp,1.0,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,23
117,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,90
118,"",1.0,"",1.0,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,8
119,cups,2.0,ml,473.176,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,91
120,teaspoons,2.0,tsps,2.0,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,11
121,tablespoons,1.0,Tbsp,1.0,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,11,92
122,"",1.0,"",1.0,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,12,93
123,"",0.5,"",0.5,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,12,42
124,"",4.0,"",4.0,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,12,94
125,cup,0.5,ml,118.294,2022-11-11 05:14:11 UTC,2022-11-11 05:14:11 UTC,12,95
126,tablespoons,1.0,Tbsp,1.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,96
127,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,97
128,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,98
129,large,1.0,large,1.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,99
130,cup,0.5,ml,118.294,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,100
131,cup,0.5,ml,118.294,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,101
132,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,16
133,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,19
134,teaspoon,0.5,tsps,0.5,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,49
135,serving,1.0,serving,1.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,12,56
136,"",1.0,"",1.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,13,102
137,serving,1.0,serving,1.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,13,56
138,Tbs,2.0,Tbs,2.0,2022-11-11 05:14:12 UTC,2022-11-11 05:14:12 UTC,13,74
139,tsp,1.0,tsp,1.0,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,103
140,tsp,0.5,tsps,0.5,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,104
141,tsp,0.5,tsps,0.5,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,105
142,tsp,0.5,tsps,0.5,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,33
143,tsp,0.25,tsps,0.25,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,106
144,cups,1.5,ml,354.882,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,107
145,cup,0.33333334,ml,78.863,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,13
146,tbsp,0.5,Tbsps,0.5,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,13,108
147,package,1.0,pkg,1.0,2022-11-11 05:14:13 UTC,2022-11-11 05:14:13 UTC,14,109
148,cup,1.0,ml,236.588,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,14,110
149,cup,1.0,ml,236.588,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,14,110
150,tsp,1.0,tsp,1.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,14,56
151,cup,0.25,ml,59.147,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,14,40
152,cup,0.25,ml,59.147,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,14,86
153,serving,1.0,serving,1.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,14,98
154,pound,3.0,kgs,1.361,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,111
155,serving,1.0,serving,1.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,58
156,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,74
157,"",1.0,"",1.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,112
158,large,1.0,large,1.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,36
159,"",2.0,"",2.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,113
160,rib,2.0,rib,2.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,114
161,"",4.0,"",4.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,30
162,"",6.0,"",6.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,115
163,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,105
164,cup,0.5,ml,118.294,2022-11-11 05:14:14 UTC,2022-11-11 05:14:14 UTC,15,116
165,cup,1.0,ml,236.588,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,117
166,cups,2.0,ml,473.176,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,118
167,cup,1.0,ml,236.588,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,119
168,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,5
169,tablespoons,3.0,Tbsps,3.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,89
170,serving,1.0,serving,1.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,56
171,pound,1.0,g,453.592,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,120
172,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,98
173,serving,1.0,serving,1.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,121
174,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,15,115
175,g,400.0,g,400.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,122
176,Tbs,2.0,Tbs,2.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,87
177,cup,1.0,ml,236.588,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,20
178,tsp,0.125,tsps,0.125,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,104
179,tsp,0.25,tsps,0.25,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,77
180,tsp,0.25,tsps,0.25,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,50
181,g,50.0,g,50.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,46
182,g,50.0,g,50.0,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,16,123
183,cup,0.5,ml,118.294,2022-11-11 05:14:15 UTC,2022-11-11 05:14:15 UTC,17,16
184,cup,1.25,ml,295.735,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,17,124
185,"",3.0,"",3.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,17,17
186,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,17,87
187,cup,1.0,ml,236.588,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,17,82
188,"",1.0,"",1.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,17,125
189,teaspoon,1.0,tsp,1.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,17,23
190,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,126
191,lb,1.0,g,453.592,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,30
192,Tablespoon,1.0,Tbsp,1.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,49
193,"",1.0,"",1.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,127
194,"",1.0,"",1.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,30
195,tsp,1.0,tsp,1.0,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,128
196,teaspoon,0.5,tsps,0.5,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,77
197,cup,1.0,ml,236.588,2022-11-11 05:14:16 UTC,2022-11-11 05:14:16 UTC,18,129
198,cup,0.5,ml,118.294,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,18,130
199,medium,2.0,medium,2.0,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,18,131
200,tsp,1.0,tsp,1.0,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,18,115
201,cups,4.0,ml,946.352,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,18,132
202,cup,1.0,ml,236.588,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,18,133
203,pound,1.0,g,453.592,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,19,109
204,medium,24.0,medium,24.0,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,19,134
205,large,2.0,large,2.0,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,19,48
206,tbsp,2.0,Tbsps,2.0,2022-11-11 05:14:17 UTC,2022-11-11 05:14:17 UTC,19,49
